#$Mask = @{1 = "Prefix" ; 2 = "Object" ; 4 = "Suffix" ; 8 = "Generic" ; 16 = "IT"}
Value,Mask
Tower,10
Blade,10
Star,10
Betrayer,10
Storm,10
Sky,10
Moon,10
Sun,10
Doubter,10
Abyss,10
Chasm,10
Void,10
Crusher,10
Golem,10
Statue,10
Keep,10
Cage,10
Prison,10
Child,10
Dragon,10
Beast,10
Heart,10
Mind,10
Soul,10
Automaton,10
Shade,10
Device,10
Hound,10
Incident,10
Stage,10
Vessel,10
Tomb,10
Vehicle,10
Spector,10
Nightmare,10
Dream,10
Folly,10
Fool,10
Trickster,10
Monster,10
Promise,10
Pillar,10
Demon,10
Angel,10
Prayer,10
Champion,10
Companion,10
Mistake,10
Whirlpool,10
Whirlwind,10
Waterfall,10
Trial,10
Fable,10
Thought,10
Evidence,10
Abscess,10
Father,10
Mother,10
Daughter,10
Son,10
Family,10
Deceiver,10
Receiver,10
Innocence,10
Illusion,10
Successor,10
Surrender,10
Thief,10
Puppet,10
Devil,10
Celebration,10
Holiday,10
Myth,10
Chains,10
Excuse,10
Urge,10
Law,10
Rule,10
Fortress,10
Judge,10
Jury,10
Judgement,10
Sentence,10
Apex,10
Pinnacle,10
Absolution,10
Peak,10
Collapse,10
Romance,10
Sin,10
Virtue,10
Achievement,10
Instrument,10
Tool,10
Moment,10
Wound,10
Injury,10
Perjury,10
Perjurious,9
Ceremony,10
Symphony,10
Bondage,10
Work,10
Effort,10
Toil,10
Slave,10
Instinct,10
Truth,10
Desire,10
Prophecy,10
Thrall,10
Servant,10
Master,10
Accident,10
Oath,10
Oathbreaker,10
Clone,10
Regret,10
Trauma,10
Beacon,10
Windfall,10
Crescendo,10
Game,10
Artifact,10
Artifice,10
Betrayal,10
Kingdom,10
Century,10
Test,10
Destiny,10
Penchant,10
Addiction,10
Predictor,10
Predecessor,10
Victory,10
Defeat,10
Stalemate,10
Checkmate,10
Impasse,10
Marriage,10
Day,10
Month,10
Year,10
Hour,10
Twilight,10
Succor,10
Doom,10
Visage,10
City,10
Planet,10
Eternity,10
Greed,10
Selfishness,10
Selflessness,10
Generosity,10
Vending Machine,10
Wave,10
Self,10
Criminal,10
Officer,10
President,10
Representative,10
Undertaking,10
Journey,10
Map,10
Circus,10
Maw,10
Ritual,10
Practitioner,10
Leader,10
Treaty,10
Country,10
Department,10
Orb,10
Globe,10
Affair,10
Android,10
Custom,10
Railroad,10
Bridge,10
Devotion,10
Commitment,10
Relationship,10
Freedom,10
Failure,10
Success,10
Vanguard,10
Infection,10
Generator,10
Emitter,10
Well,10
Fountain,10
Need,10
Code,10
Contraption,10
Junction,10
Regeneration,10
Restoration,10
Resurrection,10
Construct,10
Construction,10
Edifice,10
Facade,10
Shadow,10
Mathematics,10
Science,10
Nature,10
Butcher,10
Undertaker,10
Crypt,10
Grave,10
Burial,10
Body,10
Evil,10
Good,10
Fever,10
Emperor,10
Broker,10
Bastion,10
Redoubt,10
Armor,10
Shield,10
Spear,10
Pool,10
Emotion,10
Commentary,10
Summary,10
Salvage,10
Accession,10
Ascension,10
Signet,10
Witness,10
Stampede,10
Mastermind,10
Plunder,10
Madness,10
Spiral,10
Reason,10
Disciple,10
Embrace,10
Atlas,10
Altar,10
Portal,10
Turbine,10
Hourglass,10
Foundry,10
Vigil,10
Dedication,10
Youth,10
Age,10
Attrition,10
Atrocity,10
Edict,10
Disease,10
Malady,10
Judas,10
Galaxy,10
Decline,10
Union,10
Interface,10
Art,10
Analogy,10
Paradox,10
Climax,10
Agony,10
Collaboration,10
Decay,10
Divorce,10
Codex,10
Philosophy,10
Deathtrap,10
of Solace,12
of Justice,12
of Doubt,12
of Disillusionment,12
of Shame,12
of Horror,12
of Fate,12
of Apocalypse,12
of Disenchantment,12
of Enchantment,12
of Darkness,12
of Light,12
of Sorrow,12
of the Betrayed,12
of the Forgotten,12
of the Forlorn,12
of Annihilation,12
of Destruction,12
Of the Ages,12
of Treason,12
of Treasure,12
of Guilt,12
of Disaster,12
of Exhaustion,12
of Mutilation,12
of Mutation,12
of Folly,12
of the Fool,12
of Shadow,12
of Shadows,12
of Disinterest,12
of Deceit,12
of the Future,12
of Promises,12
of Lies,12
of Blame,12
of the Unforgiven,12
of Regret,12
of Regrets,12
of Rage,12
of Misadventure,12
of Adventure,12
of Punishment,12
of Wounds,12
of Wounding,12
of Silence,12
of the Severed,12
of Flame,12
of Flames,12
of Grace,12
of Infinity,12
of Agony,12
of Carnage,12
of Cruelty,12
of Mortality,12
of Immortality,12
of Craving,12
of Desire,12
of Nightmares,12
of Purification,12
of Sin,12
of Virtue,12
of Debauchery,12
of Slaughter,12
of Purity,12
of Corruption,12
of Focus,12
of the Bewildered,12
of Hubris,12
of Schemes,12
of Harmony,12
of Disharmony,12
of Revelation,12
of the Mighty,12
of Panic,12
of Chaos,12
of Tragedy,12
of Enforcement,12
of Necessity,12
of Taints,12
of Advice,12
of the Wanderer,12
of Plague,12
of Innocence,12
of Futility,12
of Myth,12
of Myths,12
of Betrayal,12
of the Blamed,12
of the Unjust,12
of the Abandoned,12
of Injustice,12
of Circumstance,12
of Pride,12
of the Disavowed,12
of Escape,12
of Forever,12
of Trust,12
of Knowledge,12
of Violence,12
of Toils,12
of the Endless,12
of Consuming,12
of Finality,12
of Enslavement,12
of the Denied,12
of The Titan,12
of Titans,12
of Giants,12
of the Giant,12
of Ruin,12
of Ruination,12
of Skulls,12
of Power,12
of Worth,12
of Worthlessness,12
of the Impossible,12
of the Improbable,12
of Infamy,12
of Fame,12
of Loyalty,12
of Disloyalty,12
of Thrones,12
of Purpose,12
of Waning Purpose,12
of Hands,12
of Obliteration,12
of Pride,12
of Independence,12
of Interdependence,12
of Ignorance,12
of Momentum,12
of Planned Obsolescence,12
of Wicked Desire,12
of Glory,12
of Magnificence,12
of the Blameless,12
of the Indebted,12
of the Heartless,12
of the Faithless,12
of the Indignant,12
of the Timelost,12
of the Delicate,12
of the Unbreakable,12
of the Infinite,12
of Suffering,12
of the Lost ,12
of the Disarmed,12
of Disarmament,12
of the Shadowbound,12
of the Guilt-ridden,12
of Infection,12
of Brawn,12
of the Mind,12
of the Broken,12
of Conformity,12
of Destiny,12
of Denial,12
of Acceptance,12
of Social Commentary,12
of the Witness,12
of the Relentless,12
of the Forge,12
of the Purity of Driven Snow,12
of the Warped,12
of the Impure,12
of the Pure,12
of Reckless Abandon,12
of Youth,12
of the Ancients,12
of Attrition,12
of the Ascended,12
of Twilight,12
of The Twilight,12
of the Downward Spiral,12
of One Man's Lies,12
of One Man's Lie,12
of One Man's Sky,12
of No Man's Sky,12
of Nullification,12
of Teenage Unrequited Love,12
of Unrequited Love,12
of Accepted Risk,12
of an Accepted Risk,12
of the Shared Human Experience,12
of Shared Human Experience,12
of Human Tragedy,12
of the Greater Good,12
of the Bright and Terrifying Future,12
of the Bright and Terrible Future,12
Tweet,12
Engine,12
Furnace,12
Forge,12
Extractor,12
Philosophy,12
Scheme,12
Tragedy,12
Promise,12
Agent,12
Installer,12
Database,12
Computer,12
Calculator,12
Fee,12
Fine,12
Virus,12
Ten-step Program,12
Twelve-step Program,12
Five-year Plan,12
Retirement,12
Network,12
Update,12
Entitlement,12
Strategy,12
Policy,12
Privilege,12
Upgrade,12
Design,12
Contractor,12
Vendor,12
Compactor,12
Accord,12
Program,12
Check,12
Syndrome,12
Disorder,12
Movement,12
Theory,12
Effect,12
Cascade,12
Result,12
Report,12
Alibi,12
Guarantee,12
Exit Strategy,12
Paradigm,12
Win-Win Situation,12
Workflow,12
Algorithm,12
Excel-driven-project-management,20
